X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8569329.38795335,4710263.08561586,ATE 0827,1566,Speed,1700 blk Montana  Ave NE nw/b,25,,Live,Active,38.92031,-76.9795955,401769.64697129,139159.21267708,5.0,5C,5C06,127787,{39A63775-D01E-6356-E063-782F520A029D}
-8570521.34079496,4710219.24502377,ATE 0828,1567,Speed,1100 blk  Brentwood  Rd NE n/b,25,,Live,Active,38.92000359,-76.99030299,400841.10579015,139125.04599976,5.0,5C,5C05,127788,{39A63775-D01F-6356-E063-782F520A029D}
-8579033.27494391,4716003.66380249,ATE 0829,1321,Speed,5300 blk Nebraska  Ave NW sw/b,25,,Live,Active,38.96042,-77.066767,394213.46576964,143613.69524574,3.0,3F,3F06,127789,{39A63775-D020-6356-E063-782F520A029D}
-8562898.08473391,4706795.09046188,ATE 0830,3604,Stop Sign,55th St s/b @ Eads St NE,25,,Live,Active,38.89606,-76.92182,406782.00908238,136470.83403146,7.0,7C,7C06,127790,{39A63775-D021-6356-E063-782F520A029D}
-8572895.69094822,4697369.39020831,ATE 0831,1322,Speed,4600 blk Connecticut Ave NW n/b,25,,Test,Active,38.83013,-77.01163,398990.18074416,129149.28224046,8,8D,8D01,127791,{39A63775-D022-6356-E063-782F520A029D}
-8579110.66078659,4714627.65880744,ATE 0832,1323,Speed,4601 blk Connecticut Ave NW s/b,25,,Test,Active,38.9508,-77.06746,394152.42667562,142546.69559549,3,3F,3F04,127792,{39A63775-D023-6356-E063-782F520A029D}
-8573199.35445301,4711114.44970622,ATE 0008,1112,Speed,100 BLK MICHIGAN AVE NW E/B,25,,Live,Active,38.92626,-77.01436,398755.00302176,139819.61329639,1.0,1E,1E05,127793,{39A63775-D024-6356-E063-782F520A029D}
-8574557.45215376,4709780.91606632,ATE 0012,1109,Speed,1000 BLK U ST NW E/B,25,Fixed,Live,Active,38.91694,-77.02656,397696.81665768,138785.25188724,1.0,1B,1B02,127794,{39A63775-D025-6356-E063-782F520A029D}
-8570583.34639235,4712840.29080408,ATE 0021,1509,Speed,1100 BLK MICHIGAN AVE NE W/B,25,,Live,Active,38.93832,-76.99086,400792.59899518,141158.31934102,5.0,5B,5B05,127795,{39A63775-D026-6356-E063-782F520A029D}
-8572594.88957869,4707889.65896865,ATE 0022,1609,Speed,1100 BLK NORTH CAPITOL ST NE N/B,25,Fixed,Live,Active,38.90372,-77.00893,399225.60389623,137317.42624846,6.0,6E,6E07,127796,{39A63775-D027-6356-E063-782F520A029D}
-8567276.60087674,4703764.44999037,ATE 0026,1735,Speed,1200 BLK BRANCH AVE SE S/B,25,Portable,Live,Active,38.874876,-76.961155,403370.93737555,134116.19692196,7.0,7B,7B04,127797,{39A63775-D028-6356-E063-782F520A029D}
-8574715.63716574,4706178.81827015,ATE 0034,2220,Red Light,12TH ST N/B @ CONSTITUTION AVE NW,30,,Live,Active,38.891759,-77.027981,397572.7260763,135989.99434851,2.0,2C,2C03,127798,{39A63775-D029-6356-E063-782F520A029D}
